Date,BAJFINANCE.NS_QTY,BAJFINANCE.NS_Rate,BAJFINANCE.NS_Value,DMART.NS_QTY,DMART.NS_Rate,DMART.NS_Value,MARUTI.NS_QTY,MARUTI.NS_Rate,MARUTI.NS_Value,RELIANCE.NS_QTY,RELIANCE.NS_Rate,RELIANCE.NS_Value,TECHM.NS_QTY,TECHM.NS_Rate,TECHM.NS_Value
2023-08-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-05-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2024-01-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-02,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-24,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-08-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-06-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-09-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-07-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
